time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-09-12T15:00:10.470Z,-6.2806,146.3107,93.277,5,mww,67,51,3.216,0.7,us,us7000i7e9,2022-09-20T19:43:31.293Z,"49 km E of Kainantu, Papua New Guinea",earthquake,4.83,6.231,0.089,12,reviewed,us,us
2022-09-12T08:14:39.972Z,6.178,127.5776,10,5.7,mww,143,45,2.174,0.69,us,us7000i7b8,2022-09-13T08:18:04.080Z,"156 km E of Pondaguitan, Philippines",earthquake,4.52,1.739,0.044,49,reviewed,us,us
2022-09-12T04:39:15.725Z,41.9919,144.9502,10,5,mb,136,126,1.337,0.41,us,us7000i7af,2022-09-21T01:04:50.249Z,"119 km SSE of Kushiro, Japan",earthquake,6.84,1.818,0.035,259,reviewed,us,us
2022-09-11T21:21:53.792Z,41.1882,140.1517,169.751,5,mb,126,36,0.798,0.5,us,us7000i78n,2022-09-20T03:10:58.040Z,"45 km NNW of Shimokizukuri, Japan",earthquake,6.9,3.522,0.021,760,reviewed,us,us
2022-09-11T09:06:51.111Z,-20.9751,-178.9445,629.934,5.5,mb,129,19,3.499,0.74,us,us7000i764,2022-09-12T09:09:54.327Z,Fiji region,earthquake,9.92,5.85,0.023,638,reviewed,us,us
2022-09-11T04:16:32.732Z,-11.0759,110.8536,17.136,5.4,mb,62,52,3.16,0.63,us,us7000i74s,2022-09-12T04:19:15.811Z,"south of Java, Indonesia",earthquake,7.16,4.027,0.06,99,reviewed,us,us
2022-09-11T00:42:37.638Z,-5.8136,146.0076,101.426,5,mb,81,68,3.746,0.72,us,us7000i73p,2022-09-11T01:02:21.040Z,"54 km NNE of Kainantu, Papua New Guinea",earthquake,10.22,7.02,0.049,135,reviewed,us,us
2022-09-10T23:46:57.827Z,-6.2557,146.4692,90.013,7.6,mww,121,18,3.203,0.79,us,us6000iitd,2022-09-15T03:59:04.002Z,"66 km E of Kainantu, Papua New Guinea",earthquake,5.73,3.2,0.037,70,reviewed,us,us
2022-09-10T23:24:00.731Z,-1.2028,98.6188,10,5.7,mb,114,43,2.7,1.07,us,us6000iisl,2022-09-11T23:27:10.229Z,"179 km WSW of Pariaman, Indonesia",earthquake,7.09,1.823,0.042,198,reviewed,us,us
2022-09-10T23:10:44.391Z,-1.1241,98.6239,20,6,mww,110,34,2.63,0.95,us,us6000iisb,2022-09-11T23:24:02.608Z,"175 km WSW of Pariaman, Indonesia",earthquake,6.82,1.818,0.089,12,reviewed,us,us
2022-09-10T11:14:32.811Z,-58.7811,-25.2732,10,5.4,mww,77,70,7.661,0.58,us,us6000iinw,2022-09-11T11:18:05.097Z,South Sandwich Islands region,earthquake,10.18,1.851,0.093,11,reviewed,us,us
